,title,company,location,summary,link
1,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","· Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations…",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
2,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Collaborate with assigned departments to provide actionable data-driven insights through research and analysis of data sources and development of statistical…,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
3,Data Scientist,Bains Consulting LLC,"Washington, DC",Our team is looking for Data Application/ Architect with one of the federal client Following are the skill sets the client is looking. - 10+ years of…,https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
4,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","Our client is one of the world’s leading petrochemical companies with a presence in 31 countries, 94 manufacturing facilities, 16,000 employees, and $10B in…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
5,Data Scientist,MedThink,"Cary, NC","Are you a strategic, analytical thinker who is driven to find innovative solutions? Do you love finding insights and knowledge within large and/or complex…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
6,Data Scientist,Lore Ventures,"Palo Alto, CA",We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to…,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
7,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","As a Data Scientist Undergraduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
8,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA","Location: Reston, Virginia, United States Requisition Number: 574 Position Title: AI/ML Data Scientist External Description: Now Hiring an AI/ML Data…",https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
9,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA","Company Description Twitter is what’s happening and what people are talking about right now. For us, life's not about a job, it's about purpose. We believe…",https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
10,"Senior Data Scientist (Washington, D.C. or U.S. Remote)",Wallethub,"Washington, DC","WalletHub, the #1 Personal Finance App in the US and one of Forbes’ Top 100 Best StartUp Employers in 2020, is rapidly growing and eager to add new members to…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdG_CIvTSdkr6QdMv9THtz7Vhc_c7dZNImXGc14ZzLxV-BpKD8QZu34csDZFS5mErNljNBNoTBgWQPlp4GADLQOMHV1aSgOMFe39ho70h0-VURGUTgG_9tl6pG6ssEDlqD2rb9ACz2CB9INiXlVYe5SE98F_HmrPbd-QJ3T08jITo2Rz8UWXkXKh7QnKE3qPOPQz38IZ3V1La46qfXqiHAx8laZhrwLrcgtCDWBx58qPDBa94d9xmXKsImehx10-WlqIntxIXGOBe6wLSnZ4eDB2rPY6pZbg0qFp25b4fEvfQh_-KiCr1r101qyop9DZgUPXc2YMM-vuJ5lcSqhjJReF6L79UEbRM7tc47_7Xyms4rjC6GRtoSsTPK_DOikc_W0IYghL6gT6DqLcSi9ahdrbyXnVISh5eLxS40oe7kTYIEnuD-GQQR5VfS8_ZUfqa14HXGeKBE3ln3jTG4J3kE8uA8aH8vllgTFBTar_X7gg==&p=9&fvj=1&vjs=3
11,Data Scientist,DataLab USA,"Germantown, MD",Data Scientist Company Description DataLab USA is an analytics and technology driven database marketing consultancy. We combine sophisticated technology…,https://www.indeed.com/company/Datalab-USA/jobs/Data-Scientist-e514d7f23ee0206b?fccid=b9a42c510078fe6e&vjs=3
12,Data Scientist,ACHNET Inc,"Plano, TX","* Building and owning large scale machine learning models * Processing large datasets (predominantly text, but also images) and working with big data…",https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
13,Forward Deployed Data Scientist,Cresta,NA,Forward Deployed Data Scientist Cresta is on a mission to make office workers 100x more effective (10x better and 10x faster) through the help of Artificial…,https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3
14,"Psomagen, Inc.] Bioinformatics Data Scientist I/II/III","Psomagen, Inc.","Rockville, MD","Data Scientist I/II/III Job Description: Psomagen, Inc. (formerly known as Macrogen Corp.) in Rockville, MD is seeking Computational Scientists…",https://www.indeed.com/company/Macrogen-Corp./jobs/Bioinformatic-Data-Scientist-cd40cad56160ec87?fccid=6229ee526a7f8557&vjs=3
15,Data Scientist I,Novant Health,"Winston-Salem, NC",Overview: Novant Health is seeking a Data Scientist Associate to improve the quality and effectiveness of patient care by leveraging data to generate new…,https://www.indeed.com/rc/clk?jk=477ebd7a28590968&fccid=cfd1fe74085d0235&vjs=3
16,Data Scientist,"Kajeet, Inc.","McLean, VA",Identifying patterns and trends in data sets.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGYgx8CVc3ujNE8H7ZQ_O6tzIUAzMYlqvHKmN_yDNwuUcx9cwl5lia3U-gn5uMpw7lSE0BAg9AhgefeQ61YHCzaSoXSDQ3y_LaUopxwb3ZxHvA2NjqY0qTgzHWM6D2e780ky0LMAC28QrqXW9LBAV3Wum5_KgEZJB8NvSD0Qk-nwomns3Xgyv6lIzUKSOal0K48nT6uRYUW9XsAtrvkgJC5OijXXVeLfThsGAZiX1NYtmQcAgmfWxt804wtEtf-t12QCrJ6zoY-JR_Zj9XeASf4OHbOpKDvvvmNdilaCqrFpKgCx-cYgdUiHdyZRUvDAKJ6J8LnBo7zXhWde-pqMATOug-KL165wBg2i1Pfeq-RJKNhR2YAX-SEZ48ul3DYb0LJnikaH9rwBN9qTVJhVECfE8qDN2Bslob8uwfyW6V8WcnantbB2QK&p=0&fvj=1&vjs=3
17,Data Scientist,National Security Agency,"Fort Meade, MD","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCee1dkQkxJJ_jTPTeaAj6bQY7W8nqpUJM6WNhg1Fr7srQjxek9SAawvVC9GMiVTmhP2Xm5DNNsoU4gf5Acij-lse_XhcJqcfQQADq-VHVP-diwvOqXSiVFJeP69cWYqIKur9F4zKy4JRYQ-LPOcgKy1zbtG2lmyqDP12KZIXZzvaxPC5PY-apM2yRs8yGCyJtzddpcbSfTAGvWRNfiaAp2S0FyCDKhsNZdh2B0OLogafgiYkBbyoVTYVOBHUiaZ5JntadPV4aSsgH7SSYRauHiFhf6dRZhJO-6mptkpYK4XZaiOvyxCNe0TSNtdYBXPmTJwRZmCFo4Ih8oW6njv7Qc1kOIFoKQBC1UL93XHbbXX3Q==&p=1&fvj=0&vjs=3
18,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
19,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
20,Data Scientist,Bains Consulting LLC,"Washington, DC","10+ years of software development experience and be well versed in all aspects of agile software development methodologies, data and application architecture,…",https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
21,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","The Data Scientist needs to have a passion for discovering insights in massive amounts of data, a high level of creativity, and a track record of building…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
22,Data Scientist,MedThink,"Cary, NC","The Data Scientist position (a member of the Insights & Connections department) involves understanding business and data analytics problems, developing data…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
23,Data Scientist,Lore Ventures,"Palo Alto, CA",Present information using data visualization techniques.,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
24,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
25,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA",Ability to provide subject matter guidance.,https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
26,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA",Providing technical guidance and review to junior data scientists.,https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
27,Clinical Data Scientist,Nucleus,"Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5S8YaXQytep7JIGmGBGfZFp5ihiL-deugG4Uk5bQHSBPz2AzlAbbNPHtg8WonWCuYj6uFFKU-UdpeIrSlE_IPAu21Jf8tmSEm69oeC6NFJH93dKQ0lLxpdsB0lzQEKVRxDehcEoFilukv5YdfI1qsOxSjNptZ_HWh0GFZZ0ZEune3AqzEEcgdKiEV8prtW1WOdNfbTjDsGPIp44EvoeGkYx6YA0G9WOj560GRhGL0HK8SiRBK4mYJ6rpkp8oDiOEzsQRtvTm5-Wlr6X--M8QHINSoEBMLkUu8g==&p=11&fvj=1&vjs=3
28,Data Scientist,DataLab USA,"Germantown, MD","Identify patterns & trends in data, and provides insights to enhance business decision making.",https://www.indeed.com/company/Datalab-USA/jobs/Data-Scientist-e514d7f23ee0206b?fccid=b9a42c510078fe6e&vjs=3
29,Data Scientist,ACHNET Inc,"Plano, TX",Building and owning large scale machine learning models.,https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
30,Forward Deployed Data Scientist,Cresta,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).",https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3
31,Data Scientist,"Kajeet, Inc.","McLean, VA",Identifying patterns and trends in data sets.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGYgx8CVc3ujNE8H7ZQ_O6tzIUAzMYlqvHKmN_yDNwuUcx9cwl5lia3U-gn5uMpw7lSE0BAg9AhgefeQ61YHCzaSoXSDQ3y_LaUopxwb3ZxHvA2NjqY0qTgzHWM6D2e780ky0LMAC28QrqXW9LBAV3Wum5_KgEZJB8NvSD0Qk-nwomns3Xgyv6pYAeNqdleM5EhBfoPj_ZIWpDarllMQberfQNOivJHF5Bd00H-697ycRk17owh2r75axwL-HLDBsv-_WWoHNWey__HrvKxakn4o4dqrVHnJMSDn8roYBWjU2YuumnRIm3frJDkpryIGDqKkpEgst1dUY_A1MUvGnLrK8lSqx6UlyHchsqG0mKnoJGeqz4y7r8s9PsPuhp5nTH6WZCVSUKD0JSE3wMmPMs2p7_XLRGo0DFm4bkacvYYucek8DeXHAH&p=0&fvj=1&vjs=3
32,Predictive Modeler (Data Scientist),Navy Federal Credit Union,"Vienna, VA","Experience in statistical software (e.g., SPSS Modeler, JMP, R, Python) to manage large data sets.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1zplEsFktHkQc7kOOwm4rInMAlFzAoLIRfcwaDPIGgqeIPJX4GuT98gSKYHklrHBSjj_HCv0h3LBQi1gg93FbseWn3UgXnBISt_JgSpu3sEVxv4x4IigaQf-jd1JnPF1rfQxDxtcTf37YBFMVnFJCEOWBwGxKPBHHSRTiHlm0v3e2dVebqzBOg97ZVWfEKgzvhz_SeC2EmyrJIJnMTaFaGmoD3R-arBSPsFaoqB7lBk80SR8zgMhxWZzhD2DThb8C_PW2kLNuzE93s3DHOfSwgKydhq_qo34Tbql3cZbpCG0dHCXkEvKm_d8NKfkgVSs__egN7g91pwUH18DV_r2sHAovxEumCnEQh3GK0mVtTaes06UnSdosPKoIxbm7b4kAo2ZxeE-HT-bLRHlg5k2fzxf6KS3NutCcl58RIGlsR9P7yufU2WNowE64G2eGjbrMiygNiMRjsrMPuaYA7bwQIB1HyYGwykpR5wI1KlMDEDKv2eeSgFrGmZR8GwNVjcFN5IUVMceVMl7MKfsd7fGku9BWIqN7ViIfb5behg-XDoTFdMU-khAf8KhmMstF3RqY7gD1HqBzE9PdXr2ErQg6RHGqhOsv-mO-L5UwHcL5wYngLHJPNsJqnKvkVAKd-K0=&p=1&fvj=0&vjs=3
33,Data Scientist,National Security Agency,"Fort Meade, MD","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCee1dkQkxJJ_jTPTeaAj6bQY7W8nqpUJM6WNhg1Fr7srQjxek9SAawvVC9GMiVTmhP2Xm5DNNsoU4gf5Acij-lse_XhcJqcfQQcwGIL52nAqZL1F63zhB-h8UQE2mU5aq0QtOQ3Ao-pHzAVrkEYIATLKvWAbOLb2QNdAuMio9Ulnxf26kau2ljJM8nKX6q31u4rF7xZNmzNe7S67ClgF9g47MAwxiw6eAXjYYfrEkUo5zftejObznlaJOsngrYIn1TynehX3wf31GZFfRy9Ssbqj3N7b-hPIA3C8xLYeFfLOHUUw8yK96WxxEMWIyTlGy7pyWkw5qt9Abf4soOrwGdWhplq4JYXEVLpnwKD716nTw==&p=2&fvj=0&vjs=3
34,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
35,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
36,Data Scientist,Bains Consulting LLC,"Washington, DC","10+ years of software development experience and be well versed in all aspects of agile software development methodologies, data and application architecture,…",https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
37,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","The Data Scientist needs to have a passion for discovering insights in massive amounts of data, a high level of creativity, and a track record of building…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
38,Data Scientist,MedThink,"Cary, NC","The Data Scientist position (a member of the Insights & Connections department) involves understanding business and data analytics problems, developing data…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
39,Data Scientist,Lore Ventures,"Palo Alto, CA",Present information using data visualization techniques.,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
40,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
41,Data Scientist,BICP,"Portland, OR","Possess end-to-end data expertise including data sourcing, consolidation, integration, manipulation and visualization.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AetIiH8QZSgXAvsGsWQ6AA-ndiSQ5F4QNaVBWDRIvvSgtzStVqF18M24ZGuEyXuAgYDPuaX6FwH_hN91spBmHjvmFwF-uOPb47x1JcHeBWpJV6OXiuXqvTL_iuSo21gJEHiHo12VVanI340T_2Eddd9PnFAp7QSgG8TPPXtznOJQUK3BeeClpHkSIHt-0jxt_RkFoaSL_pwwBk-fr-KVaOkMJ7IeS4uUsN2sa11bigVhHEAGGrjl-At688vu2YZIaOInvAoY4BJlGDmJMqDGCchVv8qSuvIcDd6B3w5e98TSAtzHjocLNyH1afp7-_ay_M83R0_E31FYTJLLAk6_V8Wizzk8sek1ST8kxvB69ESn3ivzqDKkSHrYjxPjU8QrgZ2xeIPLMTf0Sn9aTUxNHtnEKiWSE76WPf7dylqMmGxBz1iplaMbQv&p=10&fvj=1&vjs=3
42,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA",Ability to provide subject matter guidance.,https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
43,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA",Providing technical guidance and review to junior data scientists.,https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
44,Data Scientist,DataLab USA,"Germantown, MD","Identify patterns & trends in data, and provides insights to enhance business decision making.",https://www.indeed.com/company/Datalab-USA/jobs/Data-Scientist-e514d7f23ee0206b?fccid=b9a42c510078fe6e&vjs=3
45,Data Scientist,ACHNET Inc,"Plano, TX",Building and owning large scale machine learning models.,https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
46,Predictive Modeler (Data Scientist),Navy Federal Credit Union,"Vienna, VA","Experience in statistical software (e.g., SPSS Modeler, JMP, R, Python) to manage large data sets.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1zplEsFktHkQc7kOOwm4rInMAlFzAoLIRfcwaDPIGgqeIPJX4GuT98gSKYHklrHBSjj_HCv0h3LBQi1gg93FbseWn3UgXnBISt_JgSpu3sEVxv4x4IigaQf-jd1JnPF1rfQxDxtcTf37YBFMVnFJCEOWBwGxKPBFExXPJk6EUqDMUu61OB9xKamd2PB9dWQsZO_J2dKFFkHdDBBVX74GLEXWj7o_IWQAltrFPy_LfATANUld_-Q5iPyw-yJxUxUbbHsoSeY-dQtKZYU76okP7NiJQl4Op6uSJG9MwfM9KPP6kA6aj2TPrrA7N6RXJ5MN9ESKk7wWDHJ8OmE2Y7WLAOAWGGpnZckZClooqRsH6MnYakJUu05m7r4DVODGqRqVnOjZtWT2y6kig-I17b6n7Z-ZP7ED9qNJDaQERCzbKOfoyUicpab7VC87P83vdtokdN6-trkhw5qAaUTXI4UPfxQ2IUOMjhVH51q7HFX8lZ2UbPv4GaSmRuu-guW3I12EsApDLpukqMGrJ7sxVqzlz1-MQUj11MGPNxzvU9urxcAwXelKYMk-Sw8yJiZE391gasIxq34uZVTcIDN6yJRR0VkE1NbyXDvL8kOJ04o5VfpRO4qxL2ZF-TKiKK4PWSI8=&p=0&fvj=0&vjs=3
47,Clinical Data Scientist,"Yoh, A Day & Zimmermann Company","Hazelwood, MO","Master’s degree or PhD degree (preferred) from an accredited college/university in Biostatistics, Statistics, Data Science or related fields, with 2-5 years of…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHFXRG3kkdUdmmlVrgd8iCe035pugiL0RqZ4rwDlkiq_HaUFfJht6hnmNFKXkaKVK1pE4kKCNh__RXIUCn6oQY8z5QE1CEZ3mrpxyLHDALe0lEy53awIcshSmt4wM8IvRNyQRuwxo7614deAGv0Nhxbz3seaE0H1iX8QsPqGpV6YXqHzzFdc-UZOGtK41-p8Orl4lyBZDcoua0D_kUwDgLpVb_PBC-dUHZReVPgVC74KlrN2ecJDByWv-J06cEBpKfqnlpWjYV9zABfgYNXnjaVXsiL98_Nq_CRB6KY8nEGsnZ1oOOkx_SlLpZkd92st5mvRTDMGnsxqtm4OcqNEP4vlkcbQSdobGQJIDaDPKeWTbN0B2g_iVzmrz2xMEkckb5JJpM48nbVUmbaOucLXKFd-FVWvm96ApTnmy8Zd-sxoUdcNjLQx48Oc2EeOtbSxv5IDGdKox1N4HZnMCOCFtUpZ-bFPw-cFxpbitmeIefeDv7E0im5FHw-yY8ttpZpZRvOIecRKHynF-1o6oituCqz966YIxYUfqbqx5DU-p5S6-AO5Lcj2amS3abIJLMQS7v_zk8oDueb93dwhX24yTu0A2O01a5QP0i3dTCgVFdOtP1gFPKEdu9O3MF6yZ6EuMoPlfDZxGhkeQO2klbBBWEjkzLInOKJV_WmbnVGIcOz4OTKW_Yxj1Hxo0r0Y4EY50=&p=1&fvj=0&vjs=3
48,"Sr. Manager, Data Science",Expedia.com,"Seattle, WA","Coach, mentor, and develop a deeply talented team of data scientists, machine learning engineers.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CgzuMgEbGobo2wCIlZosReMecpOuT8Idbc5VQbXsO8aCrE1XtkaIsTh7oUQJhB6qzZy_bmCgdA5VjsfY6PkpGRgSzND6fWLZMHzj5OV0-k_YJGF2AoKGmfKmWYTdYxw3z0n8uDLjKeAT5octjwwAl5OzUapYWCB0hyRKdweLp42opPqdh-xAW4AedUxSL3zgNe_HU1ooAGU37NByS1D20BB5XBftTLR_hiOUf67iZ0c227n-fkFbRenl7496ArMtdsOmemAAenVZ5xsB9-AolCytJIfdC-ySz8zviL5pjtOu8O3rPEvDUTh0hgG3IDMk6gYAhNvujFfUnW5J3_5vY_-eVqhMUYdzHl8DQs1CW1uB_YNwIlvRFZ1oJJNYqesZXWCOJ1as6GUPQwNdORv4bailtnLYH3ULXoUcfU-V13ksH-lFjNBlrW7Fr49yyuDITvsYVC8MIlWoMXInYWWNeL59n5kxGgm98wvgHfBpXLIA==&p=2&fvj=0&vjs=3
49,Data Scientist/Developer,"PDS Tech, Inc.","Windsor Locks, CT","Someone who is proficient with building automation tools for data collection and, basically proficient in data warehousing and querying tools, statistical…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLQ6hkz6GMEPsiDV6dZwFY4wMBUE_AioakCFmtqBrqGqP687vd9SjG831nUZLdlEDXvWDmHbM6PrQXyVsTDn52sOe4r5VbsBQRceipmGZ1lqtfulzhckjUTxnw0E3oiV8I98BBDNt1_iQT9IgBY7nT-PMHyrDaCaOpRqQQNWJP_3ISlAbc5tZ2dlmiqKblPA5-Me_adaLL2wuhSQZJocjguSKRcLUzrnPRHfy3qHp2zAHgzrXzzi79sQWlXD8OhKKr9COnA95jJC12a1ezzJMFyc6RALb_FdhqFrWFaOt0PqlQFYGk9HeBr0zt0kjwaGPc4hFqc63T3d0ORC86j4q45ipXDqsInkMb9gh5sQaJeVRI1kHNmABmfdLxqD2wsXfOnROqDmqJl6dGkqqUqN2LdLw-WRA8CQnH0SSleBmr61GxbsCDivShpCus-jiWYRR66TH50XUqRVrVgHvgHhS65iJj2Zc40zwRBRYhQEojUA8XL9RWQq0XLgLA0Csx7OosoOxDYjc2koBkEUnB2HNmmRnl__Y6qN_iqLGatUZgxJWfnRryKuZd&p=3&fvj=0&vjs=3
50,Senior Data Science Analyst,Discover,"Riverwoods, IL","Responsible for solving business problems by leveraging techniques such as segmentation, optimization, advanced analytics and machine learning.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTOFzGAMdxw_GDsfUcW4vMT5hDSyEQFK4w-Qt2OSLgh_shl3NEHgMisItXQwEjVMK6VSCV8zjjgm09QJYs4Y9VtXcvoDCewRCxT_Xr6NkjvQ9Ny_EtxIj3ETHs2nb---8zEpJ19iqnU_gL4Rr3Ou8ZmIOsVzX8XEf33FJF36YHLG_1RxgRQoFrW4-FcebqzEIQfItFaQqJKTkTlbFWr4Ov7SmfsfFwlImusbx4_32iemLEjKY8zHmBqihGDM0162-Z0uGfZVbkIRFJoYna7pM-cBIAWz4rp2oPKkaxylrnrz2RbuiA7NDcl8JBLYEqDWng_vuXo8GS4rK-rAHJDq9oKDw6ekW5fynO6gEi3uPsvMn3eomGWuGeskRL7S6iLiaiEEf2drp0dYNXu0LgfB2p6K5LTiJiEyM6W6pbFgStc4O81YkmtkqURpw5c7jbiw95Jtau01fhEHs4TlQw-7-c_hPHlYFzExM=&p=4&fvj=0&vjs=3
51,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
52,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
53,Data Scientist,Bains Consulting LLC,"Washington, DC","10+ years of software development experience and be well versed in all aspects of agile software development methodologies, data and application architecture,…",https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
54,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","The Data Scientist needs to have a passion for discovering insights in massive amounts of data, a high level of creativity, and a track record of building…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
55,Data Scientist,MedThink,"Cary, NC","The Data Scientist position (a member of the Insights & Connections department) involves understanding business and data analytics problems, developing data…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
56,Data Scientist,Lore Ventures,"Palo Alto, CA",Present information using data visualization techniques.,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
57,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
58,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA",Ability to provide subject matter guidance.,https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
59,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA",Providing technical guidance and review to junior data scientists.,https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
